period,temperature,humidity,pressure,ghi
3/28/2025 7:00,26,78,"1009,6","226,9"
3/28/2025 10:00,33,48,"1009,7",
3/28/2025 13:00,37,39,"1006,4",
3/28/2025 16:00,35,47,"1004,7",
3/28/2025 19:00,29,70,"1008,1",
3/28/2025 22:00,28,78,"1010,0",
3/29/2025 1:00,27,80,"1009,3",
3/29/2025 4:00,27,82,"1008,8",
3/29/2025 7:00,26,78,"1009,6",
3/29/2025 10:00,33,48,"1009,7",
3/29/2025 13:00,37,39,"1006,4",
3/29/2025 16:00,35,47,"1004,7",
3/29/2025 19:00,29,70,"1008,1",
3/29/2025 22:00,28,78,"1010,0",
3/30/2025 1:00,27,80,"1009,3",
3/30/2025 4:00,27,82,"1008,8",
3/30/2025 7:00,27,75,"1010,7",
3/30/2025 10:00,33,51,"1011,2",
3/30/2025 13:00,33,49,"1008,1",
3/30/2025 16:00,35,54,"1006,8",
3/30/2025 19:00,29,72,"1008,8",
3/30/2025 22:00,28,77,"1010,8",
3/31/2025 1:00,27,80,"1009,9",
3/31/2025 4:00,26,84,"1008,8",
3/31/2025 7:00,27,82,"1010,4",
3/31/2025 10:00,31,58,"1010,6",
3/31/2025 13:00,34,48,"1007,1",
3/31/2025 16:00,30,67,"1005,3",
3/31/2025 19:00,25,89,"1008,6",
3/31/2025 22:00,26,87,"1010,3",
4/1/2025 1:00,25,90,"1008,8","251,7"
4/1/2025 4:00,24,92,"1008,5",
4/1/2025 7:00,25,89,"1009,6",
4/1/2025 10:00,26,83,"1010,9",
4/1/2025 13:00,25,91,"1009,2",
4/1/2025 16:00,24,91,"1008,4",
4/1/2025 19:00,24,91,"1009,8",
4/1/2025 22:00,24,90,"1010,8",
